H14-0896,Deventer,Rechtstreeks,Rechtstreeks,Overijssel,SRC-024,Deventer.pdf,18,,"Dit gaat samen met een passende inrichting, zoals vrijliggende en brede fietspaden, fietsstroken en fietsstraten.",T02,T02: Fietsnetwerk en routekwaliteit,Waar zetten we op in?,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0897,Deventer,Rechtstreeks,Rechtstreeks,Overijssel,SRC-024,Deventer.pdf,18,,Het moet vanzelfsprekend zijn om te lopen of fietsen.,T02,T02: Voetgangersnetwerk en lopen,Waar zetten we op in?,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0898,Deventer,Rechtstreeks,Rechtstreeks,Overijssel,SRC-024,Deventer.pdf,18,,Met zogenaamde doorfietsroutes vergroten we de bereikbaarheid van Deventer voor fietsers.,T02,T02: Doorfiets- en snelfietsroutes,Waar zetten we op in?,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0899,Deventer,Rechtstreeks,Rechtstreeks,Overijssel,SRC-024,Deventer.pdf,18,,Naast veilig stallen is het ook mogelijk om fietsaccu’s op te laden.,T02,T02: Fietsnetwerk en routekwaliteit,Waar zetten we op in?,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0900,Deventer,Rechtstreeks,Rechtstreeks,Overijssel,SRC-024,Deventer.pdf,18,,"Veilige fietspaden helpen om ongevallen te voorkomen. We hebben extra aandacht voor veilige schoolroutes, zodat kinderen lopend of met de fiets naar school kunnen. ■ De komende jaren verbeteren en vergroten we de stallingsmogelijkheden in de hele stad die afgestemd zijn op diverse fietstypen en gekoppeld aan mobiliteitsknooppunten.",T01; T02,T01: Schoolroutes en kwetsbare verkeersdeelnemers; T02: Voetgangersnetwerk en lopen,Waar zetten we op in?,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-0901,Deventer,Rechtstreeks,Rechtstreeks,Overijssel,SRC-024,Deventer.pdf,18,,Waar zetten we op in? Stappen en trappen Lopen en fietsen zijn de meest duurzame vormen van mobiliteit.,T02,T02: Voetgangersnetwerk en lopen,Waar zetten we op in?,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-0902,Deventer,Rechtstreeks,Rechtstreeks,Overijssel,SRC-024,Deventer.pdf,18,,"We gaan voortvarend aan de slag met het geactualiseerde programma 'Fiets voorop in Deventer’, waarbij de volgende punten de hoogste prioriteit hebben: ■ Op wegen waar auto’s en fietsen samen rijden, voeren we sneller een maximumsnelheid van 30 km/u in.",T01; T02; T11,"T01: Veilige inrichting en snelheid; T02: Fietsnetwerk en routekwaliteit; T11: Visies, programma’s en uitvoering",Waar zetten we op in?,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-0903,Deventer,Rechtstreeks,Rechtstreeks,Overijssel,SRC-024,Deventer.pdf,18,,"We geven prioriteit aan aantrekkelijke, snelle en veilige loop- en fietsroutes tussen wijken en dorpen, waarbij fietsers niet in de knel komen met auto- en landbouwverkeer.",T02,T02: Fietsnetwerk en routekwaliteit,Waar zetten we op in?,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0904,Deventer,Rechtstreeks,Rechtstreeks,Overijssel,SRC-024,Deventer.pdf,18,,"We onderzoeken de mogelijkheden voor ongelijkvloerse kruisingen bij barrières zoals bij het spoor, A1 en het Hanzetracé. ■ We voeren campagnes gericht op gedrag en educatie om jonge en oudere fietsers te stimuleren om de fiets te pakken. ■ We verbeteren het fietsnetwerk en de bereikbaarheid van Deventer op de fiets, binnen onze gemeente maar ook regionaal.",T02; T03; T04; T11,"T02: Fietsnetwerk en routekwaliteit; T03: Spoor, stations, tram en metro; T04: Hoofdwegen, corridors en aansluitingen; T11: Interbestuurlijke samenwerking",Waar zetten we op in?,2,2,Samenwerkingsvraag,,Nee,H14 volledige paginatekstscan
H14-0905,Deventer,Rechtstreeks,Rechtstreeks,Overijssel,SRC-024,Deventer.pdf,18,,"We zetten bijvoorbeeld in op minder wachttijd bij verkeerslichten, meer prioriteit voor de fiets op belangrijke routes en betere oversteekbaarheid.",T01; T02,T01: Schoolroutes en kwetsbare verkeersdeelnemers; T02: Fietsnetwerk en routekwaliteit,Waar zetten we op in?,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
