,,,,,,,,,,,,,,
Ranglijst aangesloten regio’s,,,,,,,,,,,,,,
Vier vergelijkbare regio’s; Achterhoek blijft voorlopig/niet vergelijkbaar en krijgt geen cijfermatige score.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Rang,Regio,Status,n,Gem. A,Gem. B,Gem. C-alt,Gem. totaal,Mediaan,Minimum,Maximum,Bandbreedte,Populatie-SD,Hoogste gemeenten,Rekenregel/notitie
1,Regio Groningen-Assen,Vergelijkbaar,3,8,9.333333333333334,7.5,24.833333333333332,28,17.5,29,11.5,5.2014955114424115,Midden-Groningen (29); Het Hogeland (28); Westerkwartier (17.5),Gemiddelde van afzonderlijke gemeentelijke scores; geen hoogste score en geen uniescore.
2,RMO Noord-Limburg / Trendsportal,Vergelijkbaar,7,8.571428571428571,9.285714285714286,6.428571428571429,24.285714285714285,25.5,15.5,29,13.5,4.430874976934521,Horst aan de Maas (29); Venray (29); Peel en Maas (26.5); Mook en Middelaar (25.5),Gemiddelde van afzonderlijke gemeentelijke scores; geen hoogste score en geen uniescore.
3,RMO Zuid-Limburg,Vergelijkbaar,16,8.4375,9.4375,6.015625,23.890625,24,11.25,29,17.75,4.212118630733825,Eijsden-Margraten (29); Stein (29); Maastricht (27); Heerlen (26.5),Gemiddelde van afzonderlijke gemeentelijke scores; geen hoogste score en geen uniescore.
4,Regio Arnhem-Nijmegen,Vergelijkbaar,15,7.6,8.933333333333334,5.833333333333333,22.366666666666667,23,10.5,29,18.5,5.20405824546788,Rheden (29); Zevenaar (28); Overbetuwe (27.75); Wijchen (26.5),Gemiddelde van afzonderlijke gemeentelijke scores; geen hoogste score en geen uniescore.
,Regio Achterhoek,voorlopig/niet vergelijkbaar,0,,,,,,,,,,,Geen numerieke score: in de vastgezette bronpopulatie ontbreekt een betrouwbare gemeentelijke onderlaag.
