H14-1896,Het Hogeland,Via regio,Regio Groningen-Assen,Groningen,SRC-043,Hogeland.pdf,10,18–19,"Met het oog op de ambities rondom de Eemshaven zetten wij primair in op de verdubbeling van de N33. Daarnaast zetten wij in op verdubbeling van de Eemshavenweg (N46), in eerste instantie tot en met de afslag Ten Boer-Bedum.",T04; T09; T11,"T04: Hoofdwegen, corridors en aansluitingen; T09: Havens, scheepvaart en vaarwegen; T11: Overig binnen afbakening",,2,2,Lokale kwestie,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-1897,Het Hogeland,Via regio,Regio Groningen-Assen,Groningen,SRC-043,Hogeland.pdf,10,18–19,Omleiden van doorgaand verkeer bij herinrichting van dorpscentra en het realiseren van slimme parkeeroplossingen voor een prettiger verblijfsklimaat.,T04; T05; T06; T11,"T04: Overig binnen afbakening; T05: Overig binnen afbakening; T06: Leefbaarheid, gezondheid en ruimtelijke kwaliteit; T11: Overig binnen afbakening",,2,2,Innovatie of kans,Beleidsopdracht,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-1898,Het Hogeland,Via regio,Regio Groningen-Assen,Groningen,SRC-043,Hogeland.pdf,10,18–19,Het Hogeland ontwikkelen als pionier van autonoom vervoer.,T07; T11,T07: Overig binnen afbakening; T11: Overig binnen afbakening,,1,1,Innovatie of kans,Beleidsopdracht,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-1899,Het Hogeland,Via regio,Regio Groningen-Assen,Groningen,SRC-043,Hogeland.pdf,10,18–19,Her-prioritering van de mobiliteitsvisie om versnelling aan te brengen in concrete projecten. Meer focus en meer gerichte inzet.,T04; T11,"T04: Overig binnen afbakening; T11: Visies, programma’s en uitvoering",,1,2,Lokale kwestie,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-1900,Het Hogeland,Via regio,Regio Groningen-Assen,Groningen,SRC-043,Hogeland.pdf,10,,"N33, inclusief goede aansluitingen tussen beide wegen.",T04,"T04: Hoofdwegen, corridors en aansluitingen","perspectief van Positieve Gezondheid. Niet alleen ondersteuning, zodat zij toekomstbestendig kunnen",1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-1901,Het Hogeland,Via regio,Regio Groningen-Assen,Groningen,SRC-043,Hogeland.pdf,10,,bus- en treinverbindingen koppelen aan gebiedsopgaven.,T03,"T03: Spoor, stations, tram en metro","perspectief van Positieve Gezondheid. Niet alleen ondersteuning, zodat zij toekomstbestendig kunnen",1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-1902,Het Hogeland,Via regio,Regio Groningen-Assen,Groningen,SRC-043,Hogeland.pdf,10,,"goede routes voor agro-logistiek vervoer, waarmee",T09,T09: Vracht- en regionale logistiek,"perspectief van Positieve Gezondheid. Niet alleen ondersteuning, zodat zij toekomstbestendig kunnen",1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-1903,Het Hogeland,Via regio,Regio Groningen-Assen,Groningen,SRC-043,Hogeland.pdf,10,,ook aandacht. Dit bevordert niet alleen de ontsluiting,T04,"T04: Doorstroming, verkeersdruk en ontsluiting","perspectief van Positieve Gezondheid. Niet alleen ondersteuning, zodat zij toekomstbestendig kunnen",1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-1904,Het Hogeland,Via regio,Regio Groningen-Assen,Groningen,SRC-043,Hogeland.pdf,10,,realiseren van slimme parkeeroplossingen voor een prettiger verblijfsklimaat.,T05; T11,T05: Overig binnen afbakening; T11: Overig binnen afbakening,"perspectief van Positieve Gezondheid. Niet alleen ondersteuning, zodat zij toekomstbestendig kunnen",2,2,Innovatie of kans,,Nee,H14 volledige paginatekstscan
H14-1905,Het Hogeland,Via regio,Regio Groningen-Assen,Groningen,SRC-043,Hogeland.pdf,10,,samenwerking belonen en een plus zetten op dorp overstijgende functies.,T08; T11,T08: Bereikbaarheid van kernen en buitengebied; T11: Interbestuurlijke samenwerking,"perspectief van Positieve Gezondheid. Niet alleen ondersteuning, zodat zij toekomstbestendig kunnen",1,1,Samenwerkingsvraag,,Nee,H14 volledige paginatekstscan
H14-1906,Het Hogeland,Via regio,Regio Groningen-Assen,Groningen,SRC-043,Hogeland.pdf,10,,verkeersveiligheid aanzienlijk. We willen werken aan,T01,T01: Overig binnen afbakening,"perspectief van Positieve Gezondheid. Niet alleen ondersteuning, zodat zij toekomstbestendig kunnen",2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-1907,Het Hogeland,Via regio,Regio Groningen-Assen,Groningen,SRC-043,Hogeland.pdf,12,22–23,"Door heldere informatievoorziening en nauwe samenwerking met de provincie en waterschappen over bruggen en sluizen, maken we het water toegankelijk voor iedereen.",T08; T09; T10; T11,"T08: Mensen met een beperking en ouderen; T09: Overig binnen afbakening; T10: Bruggen, kades, sluizen en civiele kunstwerken; T11: Interbestuurlijke samenwerking",,2,1,Samenwerkingsvraag,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-1908,Het Hogeland,Via regio,Regio Groningen-Assen,Groningen,SRC-043,Hogeland.pdf,13,,en het realiseren van een duurzame oplossing voor de rondweg om Onderdendam.,T04; T11,"T04: Hoofdwegen, corridors en aansluitingen; T11: Overig binnen afbakening",Defensie Kansen voor de regio,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-1909,Het Hogeland,Via regio,Regio Groningen-Assen,Groningen,SRC-043,Hogeland.pdf,13,,logistiek. Onze insteek is helder: Hogelandsters moeten,T09,T09: Vracht- en regionale logistiek,Defensie Kansen voor de regio,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-1910,Het Hogeland,Via regio,Regio Groningen-Assen,Groningen,SRC-043,Hogeland.pdf,13,,"van de algemene mobiliteit via water, weg en spoor,",T03,"T03: Spoor, stations, tram en metro",Defensie Kansen voor de regio,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-1911,Het Hogeland,Via regio,Regio Groningen-Assen,Groningen,SRC-043,Hogeland.pdf,14,,"Verhildersum, de Walfriduskerk en de unieke haven",T09,"T09: Havens, scheepvaart en vaarwegen",,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-1912,Het Hogeland,Via regio,Regio Groningen-Assen,Groningen,SRC-043,Hogeland.pdf,14,,ondernemers en omwonenden een visie op de (her) ontwikkeling van deze haven.,T09,"T09: Havens, scheepvaart en vaarwegen",,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-1913,Het Hogeland,Via regio,Regio Groningen-Assen,Groningen,SRC-043,Hogeland.pdf,14,,"onze visie op brede welvaart vormen deze havens de maritieme ruggengraat van onze economie, en recreatie.",T09,"T09: Havens, scheepvaart en vaarwegen",,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-1914,Het Hogeland,Via regio,Regio Groningen-Assen,Groningen,SRC-043,Hogeland.pdf,15,,Behoud en versterking van de visserij en het maritieme karakter van Lauwersoog en Zoutkamp.,T09,"T09: Havens, scheepvaart en vaarwegen","In de haven van Lauwersoog komen toerisme, visserij en de service- Financiën",1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-1915,Het Hogeland,Via regio,Regio Groningen-Assen,Groningen,SRC-043,Hogeland.pdf,15,,"Lauwersoog In de haven van Lauwersoog komen toerisme, visserij en de service- industrie op zee samen.",T09,"T09: Havens, scheepvaart en vaarwegen","In de haven van Lauwersoog komen toerisme, visserij en de service- Financiën",1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-1916,Het Hogeland,Via regio,Regio Groningen-Assen,Groningen,SRC-043,Hogeland.pdf,15,,Verbetering van bereikbaarheid en infrastructuur rond onze havens.,T09,"T09: Havens, scheepvaart en vaarwegen","In de haven van Lauwersoog komen toerisme, visserij en de service- Financiën",1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-1917,Het Hogeland,Via regio,Regio Groningen-Assen,Groningen,SRC-043,Hogeland.pdf,15,,"bouwen we aan een solide financiële huishouding die dienstbaar is aan de dorpen en wijken, met een blik die reikt tot over de horizon van de huidige bestuursperiode.",T08,T08: Bereikbaarheid van kernen en buitengebied,"In de haven van Lauwersoog komen toerisme, visserij en de service- Financiën",2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-1918,Het Hogeland,Via regio,Regio Groningen-Assen,Groningen,SRC-043,Hogeland.pdf,15,,rijkdom van ons maritieme erfgoed gewaardeerd blijft door inwoners en bezoekers.,T09,"T09: Havens, scheepvaart en vaarwegen","In de haven van Lauwersoog komen toerisme, visserij en de service- Financiën",1,1,Samenwerkingsvraag,,Nee,H14 volledige paginatekstscan
H14-1919,Het Hogeland,Via regio,Regio Groningen-Assen,Groningen,SRC-043,Hogeland.pdf,15,,vestingsplaats door het visserijverleden beter zichtbaar te maken via het Visserijmuseum en de verbetering van de havenboulevard.,T09,"T09: Havens, scheepvaart en vaarwegen","In de haven van Lauwersoog komen toerisme, visserij en de service- Financiën",1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-1920,Heumen,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-042,Heumen.pdf,7,,"De opvanglocatie moet door het COA worden ontwikkeld. Daarbij staan de door de raad gestelde voorwaarden voor veiligheid, leefbaarheid en tijdelijkheid centraal. We zetten onder andere in op de veiligheid op en rondom de locatie en een goede ontsluiting.",T04; T06,"T04: Doorstroming, verkeersdruk en ontsluiting; T06: Leefbaarheid, gezondheid en ruimtelijke kwaliteit",Nieuwe beleidsnota armoede en schulden,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-1921,Heumen,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-042,Heumen.pdf,7,,We zetten onder andere in op de veiligheid op en rondom de locatie en een goede ontsluiting.,T04,"T04: Doorstroming, verkeersdruk en ontsluiting",Nieuwe beleidsnota armoede en schulden,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-1922,Heumen,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-042,Heumen.pdf,7,,"We zetten onder andere in op de veiligheid op en rondom de locatie en een goede ontsluiting. Samen met betrokkenen, waaronder de omwonenden en het COA, gaan we aan de slag met een plan om activering en participatie met toekomstige bewoners te bevorderen en de leefbaarheid op de locatie te borgen.",T04; T06; T11,"T04: Doorstroming, verkeersdruk en ontsluiting; T06: Leefbaarheid, gezondheid en ruimtelijke kwaliteit; T11: Visies, programma’s en uitvoering",Nieuwe beleidsnota armoede en schulden,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-1923,Heumen,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-042,Heumen.pdf,9,,de inbreng van inwoners en organisaties om prioriteiten te stellen. Zo blijven we inspanning leveren voor onder andere veilig werkverkeer en een goede ontsluiting van de Kanaalzone. Verder realiseren we de route ten behoeve van onder andere landbouwverkeer als onderdeel van Heumen-West om de kern te ontlasten. Ondernemers en lokale economie Ondernemers en lokale initiatieven zijn belangrijk voor werkgelegenheid en leefbaarheid. De gemeente zorgt,T01,T01: Overig binnen afbakening,,2,1,Samenwerkingsvraag,Beleidsopdracht,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-1924,Heumen,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-042,Heumen.pdf,9,,Zo blijven we inspanning leveren voor onder andere veilig werkverkeer en een goede ontsluiting van de Kanaalzone.,T04,"T04: Doorstroming, verkeersdruk en ontsluiting",,1,1,Probleem,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-1925,Heumen,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-042,Heumen.pdf,9,,"leefbaarheid, zonder het karakter en de kwaliteit van onze gemeente uit het oog te verliezen. Dat vraagt om samenhang tussen wonen, groen, mobiliteit en de inrichting van de openbare ruimte. We nemen dit mee in de actualisatie van de omgevingsvisie. De coalitie kiest daarnaast voor het onderzoeken van een selectief grondbeleid, zodat we gericht kunnen sturen op gewenste ontwikkelingen en een evenwichtige inrichting van",T06,T06: Herverdeling van openbare ruimte,,2,2,Kennis- of capaciteitsvraag,Lokale kwestie,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-1926,Heumen,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-042,Heumen.pdf,9,,Verder realiseren we de route ten behoeve van onder andere landbouwverkeer als onderdeel van Heumen-West om de kern te ontlasten.,T09,T09: Overig binnen afbakening,,2,1,Beleidsopdracht,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-1927,Heumen,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-042,Heumen.pdf,9,,"Openbare ruimte en onderhoud (IBOR) We houden de openbare ruimte veilig, schoon en in een goede staat.",T10,T10: Wegenbeheer en onderhoudsniveau,,1,2,Lokale kwestie,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-1928,Heumen,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-042,Heumen.pdf,9,,‘De verbonden regio’. Aanhoudende knelpunten op lokaal niveau vragen hierbij om blijvende aandacht. We gebruiken het nieuwe ‘Omgevingsprogramma Mobiliteit’ en de inbreng van inwoners en organisaties om prioriteiten te stellen. Zo blijven we inspanning leveren voor onder andere veilig werkverkeer en een goede ontsluiting van de Kanaalzone. Verder realiseren we de route ten behoeve van onder andere landbouwverkeer als onderdeel van Heumen-West om de,T11,T11: Interbestuurlijke samenwerking,,2,2,Samenwerkingsvraag,Beleidsopdracht,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-1929,Heumen,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-042,Heumen.pdf,9,,"Dat vraagt om samenhang tussen wonen, groen, mobiliteit en de inrichting van de openbare ruimte.",T06,T06: Herverdeling van openbare ruimte,Druk op de ruimte,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
