,,,,,,,,,,,,,,,,,,,,,
Register van alle aangetroffen bestanden,,,,,,,,,,,,,,,,,,,,,
Overgenomen uit de goedgekeurde invoercontrole; exacte bestandsnamen en classificaties blijven behouden.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
source_id,zipdeel,pad in bronset,bestandsnaam,gemeente of regio,aansluittype,regio,documenttype,bestuursperiode,pagina's,tekstkwaliteit,teksttekens,tekens/pagina,analyse_status,primair telbaar,omvang MB,SHA-256,metadata titel,versleuteld,PDF-versie,opmerking,exacte hash-doublure
SRC-017,Deel 1,part1/Beuningen.pdf,Beuningen.pdf,Beuningen,Via regio,Regio Arnhem-Nijmegen,GEMEENTELIJKE_BRON,2026–2030,23,Goed,29718,1292.1,Gereed,Ja,10.54,bab8b91bf1bc7e70b3e70a7d7188f911457787f37d8deb3d28fc32c45f5185c7,,no,1.6,,Nee
SRC-018,Deel 1,part1/Beverwijk.pdf,Beverwijk.pdf,Beverwijk,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,28,Goed,38465,1373.8,Gereed,Ja,22.45,a570eea9d0707d340fd71bfbc4ab1b15935733582e07b44c16cb22910fa26fa9,ISO 15930 - Electronic document file format for prepress digital data exchange (PDF/X),no,1.6,,Nee
SRC-019,Deel 1,part1/Breda.pdf,Breda.pdf,Breda,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,45,Goed,138407,3075.7,Gereed,Ja,3.47,00b6a0fa12882a8c66f0c441cf0fc4033ef5051990d2ca14fd83b7faddc48373,Bestuursakkoord,no,1.7,,Nee
SRC-020,Deel 1,part1/Brunssum.pdf,Brunssum.pdf,Brunssum,Via regio,RMO Zuid-Limburg,GEMEENTELIJKE_BRON,2026–2030,17,Goed,31057,1826.9,Gereed,Ja,0.12,88e2a3ca65c106fa551ea9ac86a55ad51ef05e8c4e393ec0befc4fa6f3f1c31d,,no,1.7,,Nee
SRC-021,Deel 1,part1/Coevorden.pdf,Coevorden.pdf,Coevorden,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,15,Goed,35940,2396,Gereed,Ja,3.01,168ed14f0d5779598813582ac9091962a502ef1c5498226bc849f9318658fbb2,Samen bouwen aan een sterke toekomst - Coalitieakkoord 2026-230 - Gemeente Coevorden,no,1.7,PDF-metadata bevat periodefout ‘2026-230’; titelblad toont 2026–2030.,Nee
SRC-022,Deel 1,part1/Culembourg.pdf,Culembourg.pdf,Culemborg,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,32,Goed,54286,1696.4,Gereed,Ja,2.49,a2e2e64264de6a3e67fbfcdbdcdd8e4cc70630245ba4645456d7a8a3915a2bc7,Coalitieakkoord 2026-2030,no,1.7,Bestandsnaam gebruikt onjuiste spelling; gekoppeld aan Culemborg.,Nee
SRC-023,Deel 1,part1/Den Haag.pdf,Den Haag.pdf,Den Haag,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,51,Goed,151245,2965.6,Gereed,Ja,8.02,0ed364aa37e9ba7249aeecb2c3f6737881144bc9f07bcbcc9dcb0229a7f0f649,"Coalitieakkoord 2026-2030 'Voor Den Haag, met Den Haag'",no,1.7,,Nee
SRC-024,Deel 1,part1/Deventer.pdf,Deventer.pdf,Deventer,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,56,Goed,113944,2034.7,Gereed,Ja,5.17,de6735cf67b41520c731338bf186080e224db0dd52c814082bd934fc4ab6b7dd,Coalitieakkoord 2026-2030,no,1.7,,Nee
SRC-025,Deel 1,part1/Doesburg.pdf,Doesburg.pdf,Doesburg,Via regio,Regio Arnhem-Nijmegen,GEMEENTELIJKE_BRON,2026–2030,13,Goed,17045,1311.2,Gereed,Ja,3.92,49de5863f19b00cf931fc3d2ee59e795137b8274c0039fa850b1278cb13ac6ce,,no,1.7,,Nee
SRC-026,Deel 1,part1/Doetinchem.pdf,Doetinchem.pdf,Doetinchem,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,27,Goed,60204,2229.8,Gereed,Ja,1.73,ca11b51c5ff810d668acd9b7ccc4767d198f68f1f509651f8bcadd2e2b548b5f,Coalitieagenda 2026-2030 Samen & met lef,no,1.7,,Nee
