H14-0696,Breda,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-019,Breda.pdf,14,,"van de stad. Fiets, auto, openbaar vervoer, parkeren, deelmo-",T02; T03; T05,T02: Fietsnetwerk en routekwaliteit; T03: Bus en openbaar vervoer; T05: Parkeercapaciteit en parkeerdruk,Breda Groeit Breda Groeit,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0697,Breda,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-019,Breda.pdf,14,,veilige fietspaden en voldoende fietsvoorzieningen. Fietsen,T02,T02: Fietsnetwerk en routekwaliteit,Breda Groeit Breda Groeit,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0698,Breda,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-019,Breda.pdf,15,,"De Noordelijke Rondweg blijft een sleutelroute in de mobiliteit, bereikbaarheid en verdere groei van onze stad.",T04,"T04: Hoofdwegen, corridors en aansluitingen",Breda Groeit,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0699,Breda,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-019,Breda.pdf,15,,"De openbare ruimte moet uitnodigen tot lopen, fietsen,",T02; T06,T02: Voetgangersnetwerk en lopen; T06: Herverdeling van openbare ruimte,Breda Groeit,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0700,Breda,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-019,Breda.pdf,15,,De treinverbinding Breda-Utrecht houden we daarbij nadrukkelijk in beeld.,T03,"T03: Spoor, stations, tram en metro",Breda Groeit,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0701,Breda,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-019,Breda.pdf,15,,"Een fiets die met 1 wiel buiten het nietje staat, gaan we niet weghalen.",T02,T02: Fietsnetwerk en routekwaliteit,Breda Groeit,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-0702,Breda,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-019,Breda.pdf,15,,Ook de maximumsnelheid op de wegen binnen de singels gaat naar 30 km/u.,T01,T01: Veilige inrichting en snelheid,Breda Groeit,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0703,Breda,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-019,Breda.pdf,15,,Overlastgevend en gevaarlijk gedrag met fatbikes is ons een doorn in het oog.,T01,"T01: Handhaving, educatie en veilig gedrag",Breda Groeit,1,1,Probleem,,Nee,H14 volledige paginatekstscan
H14-0704,Breda,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-019,Breda.pdf,15,,"Rondweg op koers, zonder meer te beloven dan we nu",T04,"T04: Hoofdwegen, corridors en aansluitingen",Breda Groeit,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0705,Breda,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-019,Breda.pdf,15,,We blijven inzetten op een sterk openbaar vervoersnetwerk dat ons met de regio en de rest van Nederland verbindt.,T11,T11: Interbestuurlijke samenwerking,Breda Groeit,1,1,Samenwerkingsvraag,,Nee,H14 volledige paginatekstscan
