H14-1396,Emmen,Rechtstreeks,Rechtstreeks,Drenthe,SRC-033,Emmen.pdf,13,25,"Rond stations en overstappunten willen wij sturen op veilige, overzichtelijke en toekomstbestendige inrichting.",T03,"T03: Spoor, stations, tram en metro",,2,3,Beleidsopdracht,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-1397,Emmen,Rechtstreeks,Rechtstreeks,Drenthe,SRC-033,Emmen.pdf,13,,"Economische bereikbaarheid Wij blijven ons onverminderd inzetten voor de Nedersaksenlijn, omdat deze verbinding van groot belang is voor de bereikbaarheid, economische ontwikkeling, brede welvaart en de ruimtelijkeconomische schaalsprong van Emmen.",T03; T06,"T03: Spoor, stations, tram en metro; T06: Overig binnen afbakening",,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-1398,Emmen,Rechtstreeks,Rechtstreeks,Drenthe,SRC-033,Emmen.pdf,13,,"Met Rijk en regio starten we een participatietraject op om samen met de omgeving, onze inwoners, ondernemers en onze Erkende Overlegpartners, de toekomst van de spoorzone vorm te geven. We kijken naar het gehele gebied rondom het station Emmen Centrum waar we de verkeersveiligheid willen verbeteren.",T01; T03; T11,"T01: Overig binnen afbakening; T03: Spoor, stations, tram en metro; T11: Interbestuurlijke samenwerking",,2,2,Samenwerkingsvraag,,Nee,H14 volledige paginatekstscan
H14-1399,Emmen,Rechtstreeks,Rechtstreeks,Drenthe,SRC-033,Emmen.pdf,13,,"Spoorvisie en gebiedsontwikkeling Voor de gebiedsontwikkeling Nedersaksenlijn vindt uitwerking plaats voor nieuwe deelgebieden en voor de huidige wijken en dorpen gericht op wonen, werken, voorzieningen en landschap.",T03; T06,"T03: Spoor, stations, tram en metro; T06: Mobiliteit bij woningbouw en gebiedsontwikkeling",,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-1400,Emmen,Rechtstreeks,Rechtstreeks,Drenthe,SRC-033,Emmen.pdf,13,,"We hebben daarbij aandacht voor de aansluitende wegen op de doorgaande weg, het stallen van fietsen en veilige looproutes naar en van het centrum van Emmen en het parkeren van de auto, voor de treinreiziger.",T02; T03; T05,"T02: Fietsnetwerk en routekwaliteit; T03: Spoor, stations, tram en metro; T05: Parkeercapaciteit en parkeerdruk",,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-1401,Emmen,Rechtstreeks,Rechtstreeks,Drenthe,SRC-033,Emmen.pdf,13,,We kijken naar het gehele gebied rondom het station Emmen Centrum waar we de verkeersveiligheid willen verbeteren.,T01,T01: Overig binnen afbakening,,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-1402,Emmen,Rechtstreeks,Rechtstreeks,Drenthe,SRC-033,Emmen.pdf,13,,Wij blijven ons inzetten voor de verdubbeling van de N34 en van de internationale corridor A28/A37–E233.,T04,"T04: Hoofdwegen, corridors en aansluitingen",,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-1403,Emmen,Rechtstreeks,Rechtstreeks,Drenthe,SRC-033,Emmen.pdf,13,,"de A37/E233 is Emmen direct verbonden met Duitsland en de A1, terwijl aan Duitse zijde de E233 verder wordt uitgebouwd en de route richting de havens van Bremen en Hamburg aan belang wint.",T04; T09,"T04: Hoofdwegen, corridors en aansluitingen; T09: Havens, scheepvaart en vaarwegen",,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-1404,Emmen,Rechtstreeks,Rechtstreeks,Drenthe,SRC-033,Emmen.pdf,14,27,"Goed onderhouden wegen, veilige fietspaden, begaanbare voetpaden, voldoende groen, goede verlichting, bereikbare voorzieningen en voldoende parkeergelegenheid zijn belangrijk.",T01; T02; T05,T01: Veilige inrichting en snelheid; T02: Voetgangersnetwerk en lopen; T05: Overig binnen afbakening,,1,3,Probleem,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-1405,Emmen,Rechtstreeks,Rechtstreeks,Drenthe,SRC-033,Emmen.pdf,14,27,"Daarom zetten wij in op wat bijdraagt aan leefbaarheid in het dagelijks leven van inwoners, nu en in de toekomst: een openbare ruimte die op orde is, goede voorzieningen in dorpen en wijken, sterke sport- en onderwijsvoorzieningen, bereikbaarheid en veiligheid voor alle inwoners, een betaalbare en haalbare duurzaamheidsaanpak en een gemeente die initiatieven uit de samenleving serieus neemt.",T08,T08: Betaalbaarheid en minima,,2,2,Beleidsopdracht,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-1406,Emmen,Rechtstreeks,Rechtstreeks,Drenthe,SRC-033,Emmen.pdf,14,,Daarom willen we investeren in goede bereikbaarheid en parkeervoorzieningen.,T05,T05: Overig binnen afbakening,Onze ambitie,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-1407,Emmen,Rechtstreeks,Rechtstreeks,Drenthe,SRC-033,Emmen.pdf,14,,"Daarom willen we investeren in goede bereikbaarheid en parkeervoorzieningen. En het betekent dat we werken aan duurzaamheid, energie en klimaat, maar wel nuchter, betaalbaar en uitvoerbaar.",T05; T11,"T05: Overig binnen afbakening; T11: Visies, programma’s en uitvoering",Onze ambitie,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-1408,Emmen,Rechtstreeks,Rechtstreeks,Drenthe,SRC-033,Emmen.pdf,14,,"Daarom zetten wij in op wat bijdraagt aan leefbaarheid in het dagelijks leven van inwoners, nu en in de toekomst: een openbare ruimte die op orde is, goede voorzieningen in dorpen en wijken, sterke sport- en onderwijsvoorzieningen, bereikbaarheid en veiligheid voor alle inwoners, een betaalbare en haalbare duurzaamheidsaanpak en een gemeente die initiatieven uit de samenleving serieus neemt.",T06; T08,T06: Herverdeling van openbare ruimte; T08: Betaalbaarheid en minima,Onze ambitie,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-1409,Emmen,Rechtstreeks,Rechtstreeks,Drenthe,SRC-033,Emmen.pdf,14,,"Dat betekent dat we investeren in infrastructuur, openbaar vervoer en bereikbaarheid.",T03,T03: Bus en openbaar vervoer,Onze ambitie,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-1410,Emmen,Rechtstreeks,Rechtstreeks,Drenthe,SRC-033,Emmen.pdf,14,,"Goed onderhouden wegen, veilige fietspaden, begaanbare voetpaden, voldoende groen, goede verlichting, bereikbare voorzieningen en voldoende parkeergelegenheid zijn belangrijk.",T02; T05; T10,T02: Voetgangersnetwerk en lopen; T05: Overig binnen afbakening; T10: Wegenbeheer en onderhoudsniveau,Onze ambitie,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-1411,Emmen,Rechtstreeks,Rechtstreeks,Drenthe,SRC-033,Emmen.pdf,14,,Juist daar wordt het verschil gemaakt. Wij kiezen ook voor een realistische koers in mobiliteit en duurzaamheid.,T11,T11: Overig binnen afbakening,Onze ambitie,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-1412,Emmen,Rechtstreeks,Rechtstreeks,Drenthe,SRC-033,Emmen.pdf,15,29,"Waar de straat open gaat, kijken we direct naar verkeersveiligheid, vergroening, wateropvang, toegankelijkheid en herinrichting van de openbare ruimte.",T01; T06,T01: Veilige inrichting en snelheid; T06: Herverdeling van openbare ruimte,,1,2,Lokale kwestie,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-1413,Emmen,Rechtstreeks,Rechtstreeks,Drenthe,SRC-033,Emmen.pdf,15,29,"Wij zetten in op het versterken van de verkeersveiligheid door planmatig onderhoud van wegen, fiets- en voetpaden, verbetering van de openbare verlichting en gerichte maatregelen op locaties waar de verkeersveiligheid onder druk staat, zoals bij scholen, oversteekplaatsen en risicovolle kruispunten.",T01; T02; T10,T01: Schoolroutes en kwetsbare verkeersdeelnemers; T02: Voetgangersnetwerk en lopen; T10: Wegenbeheer en onderhoudsniveau,,2,2,Beleidsopdracht,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-1414,Emmen,Rechtstreeks,Rechtstreeks,Drenthe,SRC-033,Emmen.pdf,15,29,"Daarom blijven wij structureel investeren in beheer en onderhoud van wegen, voetpaden, fietspaden, groen, speelplekken, openbare verlichting en overige infrastructuur.",T02; T10,T02: Voetgangersnetwerk en lopen; T10: Wegenbeheer en onderhoudsniveau,,2,3,Beleidsopdracht,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-1415,Emmen,Rechtstreeks,Rechtstreeks,Drenthe,SRC-033,Emmen.pdf,15,29,"Dat betekent investeren in veilige fietsroutes, betere voetpaden, logische looproutes en aantrekkelijk openbaar vervoer en goed onderhouden wegen. Wij kiezen dus voor een evenwichtige mobiliteitsaanpak voor auto, fiets en voetganger.",T01; T02; T03; T04,"T01: Schoolroutes en kwetsbare verkeersdeelnemers; T02: Voetgangersnetwerk en lopen; T03: Bus en openbaar vervoer; T04: Doorstroming, verkeersdruk en ontsluiting",,2,3,Beleidsopdracht,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-1416,Emmen,Rechtstreeks,Rechtstreeks,Drenthe,SRC-033,Emmen.pdf,15,29,Ook blijven we ons inzetten voor de verdubbeling van de N34. De F34 en de fietsroute langs de weg Emmen-Klazienaveen zien we als cruciale regionale doorfietsroute voor gezonde verstedelijking. Evenwichtige aanpak Wij kiezen voor bereikbaarheid in de volle breedte.,T02; T04; T11,"T02: Doorfiets- en snelfietsroutes; T04: Hoofdwegen, corridors en aansluitingen; T11: Interbestuurlijke samenwerking",,2,3,Beleidsopdracht,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-1417,Emmen,Rechtstreeks,Rechtstreeks,Drenthe,SRC-033,Emmen.pdf,15,29,Bereikbaar voor iedereen Goed wegenonderhoud De auto blijft een belangrijk vervoermiddel in onze regio. Daarom blijven we investeren in goede wegen.,T04; T11,"T04: Doorstroming, verkeersdruk en ontsluiting; T11: Interbestuurlijke samenwerking",,2,2,Beleidsopdracht,Samenwerkingsvraag,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-1418,Emmen,Rechtstreeks,Rechtstreeks,Drenthe,SRC-033,Emmen.pdf,15,,"Achterstallig onderhoud werken we verder weg. We hanteren daarbij niet de logica van incident naar incident, maar van planmatig onderhoud en duidelijke prioriteiten.",T10; T11,"T10: Wegenbeheer en onderhoudsniveau; T11: Visies, programma’s en uitvoering",Onze inzet,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
