H14-1496,Enschede,Rechtstreeks,Rechtstreeks,Overijssel,SRC-034,Enschede.pdf,44,,"We blijven investeren in versterking en betere ontsluiting van recreatieve netwerken zoals fiets- en wandelroutes, met de nadruk op de verbinding tussen het stedelijk centrum en ons buitengebied.",T02; T04,"T02: Voetgangersnetwerk en lopen; T04: Doorstroming, verkeersdruk en ontsluiting",,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-1497,Enschede,Rechtstreeks,Rechtstreeks,Overijssel,SRC-034,Enschede.pdf,44,,"We zoeken een herkenbare plek in de stad voor de gerestaureerde tram, zodat we dit bijzondere Enschedese erfgoed voor en in Enschede behouden en zichtbaar maken.",T03,"T03: Spoor, stations, tram en metro",,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-1498,Enschede,Rechtstreeks,Rechtstreeks,Overijssel,SRC-034,Enschede.pdf,50,,"de investeringsagenda om de groei- en ontwikkelopgaven van Enschede te ondersteunen; ▬ Extra investeringen in mobiliteit ter ondersteuning van grootschalige woningbouw; Hiermee wordt gestuurd op samenhang tussen verstedelijking en bereikbaarheid; ▬ Versterken van de uitvoeringskracht in de organisatie op de stedelijke ontwikkelopgaven; ▬ Uitbreiding van sporthal faciliteiten voor breedtesport en verenigingsleven; ▬ Continuering van het binnenstad stimuleringsfonds, Novel-T en de aanpak op woonoverlast; ▬ Versterken van bestuurskracht passend bij de groei van Enschede, de bijbehorende opgaven",T06; T11,"T06: Mobiliteit bij woningbouw en gebiedsontwikkeling; T11: Financiering, subsidie en cofinanciering",,1,3,Probleem,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-1499,Gennep,Via regio,RMO Noord-Limburg / Trendsportal,Limburg,SRC-035,Gennep.pdf,12,,"en economie. Historische routes, lokale gidsen en digitale ontsluiting maken verhalen tastbaar.",T04,"T04: Doorstroming, verkeersdruk en ontsluiting",We faciliteren de doorontwikkeling naar een,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-1500,Gennep,Via regio,RMO Noord-Limburg / Trendsportal,Limburg,SRC-035,Gennep.pdf,14,,"We investeren in een veilige openbare ruimte, met aandacht voor verkeersveiligheid en veilige schoolroutes.",T01; T06,T01: Schoolroutes en kwetsbare verkeersdeelnemers; T06: Herverdeling van openbare ruimte,,2,2,Investering,Lokale kwestie,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-1501,Gennep,Via regio,RMO Noord-Limburg / Trendsportal,Limburg,SRC-035,Gennep.pdf,14,,"effectiever en richt zich op overlast, parkeren,",T05,T05: Parkeercapaciteit en parkeerdruk,HULPDIENSTEN VEILIGE EN LEEFBARE,1,1,Probleem,,Nee,H14 volledige paginatekstscan
H14-1502,Gennep,Via regio,RMO Noord-Limburg / Trendsportal,Limburg,SRC-035,Gennep.pdf,22,,ons sterk voor een fietsevenement van,T02,T02: Fietsnetwerk en routekwaliteit,nodig – passend kunnen verplaatsen binnen de personeel blijven nadrukkelijk aandachtspunt,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-1503,Gennep,Via regio,RMO Noord-Limburg / Trendsportal,Limburg,SRC-035,Gennep.pdf,22,,wandelen en fietsen. Daarom versterken we,T02,T02: Voetgangersnetwerk en lopen,nodig – passend kunnen verplaatsen binnen de personeel blijven nadrukkelijk aandachtspunt,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-1504,Gennep,Via regio,RMO Noord-Limburg / Trendsportal,Limburg,SRC-035,Gennep.pdf,25,,"We zetten in op duurzaamheid, een kwalitatief goede openbare ruimte, veilige mobiliteit en het versterken van natuur en landschap, in samenhang met elkaar.",T06,T06: Herverdeling van openbare ruimte,4. EEN GROENE EN,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-1505,Gennep,Via regio,RMO Noord-Limburg / Trendsportal,Limburg,SRC-035,Gennep.pdf,27,,"Ons uitgangspunt is daarbij om 'werk met werk’ te maken: als we de openbare ruimte verbeteren, zorgen we ook voor goede en veilige mobiliteit, waar mogelijk klimaatadaptatie en versterking van de leefbaarheid.",T06,T06: Herverdeling van openbare ruimte,,2,2,Lokale kwestie,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
