H14-0596,Berg en Dal,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-015,Berg en Dal.pdf,12,,Ontwikkeling van een lokaal distributienetwerk is wenselijk.,T09,T09: Vracht- en regionale logistiek,,1,1,Probleem,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-0597,Berg en Dal,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-015,Berg en Dal.pdf,12,,"Leveringszekerheid is momenteel één van de belemmerende factoren. Ontwikkeling van een lokaal distributienetwerk is wenselijk. ➔ Circulair en toekomstbestendig ondernemen (waaronder bij woningbouw) bevor- deren bij onze bedrijven, mede vanuit onze rol als opdrachtgever.",T06; T09,T06: Mobiliteit bij woningbouw en gebiedsontwikkeling; T09: Vracht- en regionale logistiek,➔ Bevorderen van samenwerking tussen ondernemers waardoor niet iedereen zelf,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0598,Berg en Dal,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-015,Berg en Dal.pdf,12,,"Onze voorkeur hebben bedrijven met een lokale schaal en binding. ➔ Kortere voedselketens, samen met de gemeente Nijmegen en de Groene Metro- poolregio.",T03,"T03: Spoor, stations, tram en metro",➔ Bevorderen van samenwerking tussen ondernemers waardoor niet iedereen zelf,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0599,Berg en Dal,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-015,Berg en Dal.pdf,12,,"➔ Bevorderen van samenwerking tussen ondernemers waardoor niet iedereen zelf het wiel hoeft uit te vinden. ➔ Ondersteuning bij het wegnemen van praktische problemen bij duurzaam onder- nemen. ➔ Aantrekken van passende bedrijvigheid. Onze voorkeur hebben bedrijven met een lokale schaal en binding. ➔ Kortere voedselketens, samen met de gemeente Nijmegen en de Groene Metro- poolregio.",T03; T11,"T03: Spoor, stations, tram en metro; T11: Interbestuurlijke samenwerking",➔ Bevorderen van samenwerking tussen ondernemers waardoor niet iedereen zelf,1,1,Samenwerkingsvraag,,Nee,H14 volledige paginatekstscan
H14-0600,Berg en Dal,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-015,Berg en Dal.pdf,14,,"We noemden al verkeer, maar ook op andere terreinen is sprake van forse schaarste. We hebben bijvoorbeeld te weinig projectleiders in dienst. Een deel van de oplossing zien wij in het delen van personeel met andere gemeenten, intensivering van bestaande regionale samenwerking of het aangaan van nieuwe samenwerkingen.",T11,T11: Interbestuurlijke samenwerking,➔ Voor een vereenvoudiging van regelgeving of van werkwijzen waardoor inwoners,1,1,Samenwerkingsvraag,,Nee,H14 volledige paginatekstscan
H14-0601,Berg en Dal,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-015,Berg en Dal.pdf,15,,"Veel vraagstukken waarmee we geconfronteerd worden kunnen alleen regionaal effectief worden aangepakt, denk bijvoorbeeld aan mobiliteit, de opwek en distributie van duurzame energie en de jeugdzorg.",T09; T11,T09: Vracht- en regionale logistiek; T11: Interbestuurlijke samenwerking,"➔ Kritisch kijken naar onze uitgaven, maar een diepgaande bezuinigingsdiscussie",2,2,Samenwerkingsvraag,,Nee,H14 volledige paginatekstscan
H14-0602,Bergen (L.),Via regio,RMO Noord-Limburg / Trendsportal,Limburg,SRC-016,Bergen.pdf,11,,Belangrijke aandachtspunten zijn het inlopen van onderhoudsachterstanden en het vergroten van de verkeersveiligheid.,T01; T11,T01: Overig binnen afbakening; T11: Interbestuurlijke samenwerking,,1,1,Samenwerkingsvraag,Probleem,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-0603,Bergen (L.),Via regio,RMO Noord-Limburg / Trendsportal,Limburg,SRC-016,Bergen.pdf,11,,"Wij streven naar een goede balans tussen vergroting van de biodiversiteit, uitstraling en verkeersveiligheid.",T01,T01: Overig binnen afbakening,,1,2,Lokale kwestie,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-0604,Bergen (L.),Via regio,RMO Noord-Limburg / Trendsportal,Limburg,SRC-016,Bergen.pdf,11,,"Het programma resulteert in veilige en verzorgde dorpen, een klimaatbestendige inrichting en verbeterde infrastructuur. Belangrijke aandachtspunten zijn het inlopen van onderhoudsachterstanden en het vergroten van de verkeersveiligheid.",T01; T06; T10; T11,T01: Veilige inrichting en snelheid; T06: Overig binnen afbakening; T10: Wegenbeheer en onderhoudsniveau; T11: Interbestuurlijke samenwerking,,1,2,Samenwerkingsvraag,Lokale kwestie,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-0605,Bergen (L.),Via regio,RMO Noord-Limburg / Trendsportal,Limburg,SRC-016,Bergen.pdf,11,,"Openbare ruimte en leefomgeving Wij zetten de uitvoering van het door de raad vastgestelde Gemeentelijk Water-, Wegen- en Rioleringsprogramma (GWWRP) voort.",T10; T11,"T10: Wegenbeheer en onderhoudsniveau; T11: Visies, programma’s en uitvoering",,2,2,Beleidsopdracht,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-0606,Bergen (L.),Via regio,RMO Noord-Limburg / Trendsportal,Limburg,SRC-016,Bergen.pdf,11,,"Variatie in bebouwing, passend bij het dorpskarakter, vinden wij belangrijk. De gemeente voert de regie over bouwplannen en werkt samen met marktpartijen en woningcorporatie Destion aan kansrijke initiatieven; van belang is een vroegtijdige afstemming met de initiatiefnemers.",T11,T11: Interbestuurlijke samenwerking,"Ruimte, wonen en energie",1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0607,Bergen (L.),Via regio,RMO Noord-Limburg / Trendsportal,Limburg,SRC-016,Bergen.pdf,11,,"Wij geven dan ook prioriteit aan de bouw van nieuwe, passende woningen door de realisatie ervan te versnellen, alle doelgroepen (starters, doorstromers, ouderen en gezinnen) te bedienen en te zorgen voor spreiding over alle kernen.",T11,T11: Overig binnen afbakening,"Ruimte, wonen en energie",2,2,Beleidsopdracht,Probleem,Nee,H14 volledige paginatekstscan
H14-0608,Bergen (L.),Via regio,RMO Noord-Limburg / Trendsportal,Limburg,SRC-016,Bergen.pdf,12,,"Onze gemeente is rijk aan natuur die we in stand willen houden, met mogelijkheden voor wandelen, fietsen, recreëren en kamperen.",T11,T11: Interbestuurlijke samenwerking,"Natuur, landschap en landbouw",1,1,Samenwerkingsvraag,,Nee,H14 volledige paginatekstscan
H14-0609,Beuningen,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-017,Beuningen.pdf,1,,Ontsluiting voor de nieuwbouw Ewijk Nieuw zwembad op de Ooigraaf,T04,"T04: Doorstroming, verkeersdruk en ontsluiting",Samen met focus vooruit,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0610,Beuningen,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-017,Beuningen.pdf,3,,Een nieuwe Lèghe Polder. En een nieuwe ontsluitingsweg voor de nieuwbouw in Ewijk.,T04,"T04: Doorstroming, verkeersdruk en ontsluiting",Voor ons betekent brede welvaart dat we kiezen voor een sterke lokale,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0611,Beuningen,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-017,Beuningen.pdf,3,,Een nieuwe Lèghe Polder. En een nieuwe ontsluitingsweg voor de nieuwbouw in Ewijk. Ook zetten we vol in op woningbouw. Daarmee leggen we de basis.,T04; T06,"T04: Doorstroming, verkeersdruk en ontsluiting; T06: Mobiliteit bij woningbouw en gebiedsontwikkeling",Voor ons betekent brede welvaart dat we kiezen voor een sterke lokale,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-0612,Beuningen,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-017,Beuningen.pdf,12,,Deze voorzieningen moeten meegroeien met de groei van de dorpen. We betrekken jongeren meer bij plannen die over hen gaan.,T11,"T11: Visies, programma’s en uitvoering",We investeren in weerbaarheid. Dat betekent dat inwoners en organisaties,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0613,Beuningen,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-017,Beuningen.pdf,17,,"We vinden het belangrijk dat basisvoorzieningen beschikbaar en bereikbaar zijn in alle wijken en dorpen. Bijvoorbeeld winkels, sport, speeltuinen en ontmoetingsplekken. Bij uitbreidingsplannen onderzoeken we of de bestaande voorzieningen passen bij de schaal van het dorp.",T11,T11: Interbestuurlijke samenwerking,Ook willen we bestaande ruimte beter gebruiken. Daarom onderzoeken we,2,2,Kennis- of capaciteitsvraag,,Nee,H14 volledige paginatekstscan
H14-0614,Beuningen,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-017,Beuningen.pdf,18,,"Daarom willen we de verkeersveiligheid verbeteren, zoals we hebben afgesproken in het mobiliteitsplan.",T01; T11,"T01: Overig binnen afbakening; T11: Visies, programma’s en uitvoering",,2,2,Lokale kwestie,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-0615,Beuningen,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-017,Beuningen.pdf,18,,"Lopen, fietsen en openbaar vervoer krijgen zoveel mogelijk voorrang.",T02; T03,T02: Voetgangersnetwerk en lopen; T03: Bus en openbaar vervoer,,1,1,Probleem,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
